"label","sms"
"ham","I love to wine and dine my lady!"
"spam","This is the 2nd attempt to contract U, you have won this weeks top prize of either £1000 cash or £200 prize. Just call 09066361921"
"ham","Edison has rightly said, A fool can ask more questions than a wise man can answer Now you know why all of us are speechless during ViVa.. GM,GN,GE,GNT:-)"
"ham","&lt;#&gt;  w jetton ave if you forgot"
"ham","My uncles in Atlanta. Wish you guys a great semester."
"ham","WHEN THE FIRST STRIKE IS A RED ONE. THE BIRD + ANTELOPE BEGIN TOPLAY IN THE FIELDOF SELFINDEPENDENCE BELIEVE THIS + THE FLOWER OF CONTENTION WILL GROW.RANDOM!"
"ham","Boo what time u get out? U were supposed to take me shopping today. :("
"ham","Happy New year my dear brother. I really do miss you. Just got your number and decided to send you this text wishing you only happiness. Abiola"
"spam","You have 1 new message. Please call 08718738034."
"ham","Haha awesome, omw back now then"
"ham","The 2 oz guy is being kinda flaky but one friend is interested in picking up $ &lt;#&gt;  worth tonight if possible"
"ham","Is there any training tomorrow?"
"ham","Aight, I'll ask a few of my roommates"
"ham","U free on sat rite? U wan 2 watch infernal affairs wif me n darren n mayb xy?"
"ham","Oh... I was thkin of goin yogasana at 10 den no nd to go at 3 den can rush to parco 4 nb... Okie lor, u call me when ready..."
"ham","Ok lar... Joking wif u oni..."
"ham","Hey u still at the gym?"
"ham","The greatest test of courage on earth is to bear defeat without losing heart....gn tc"
"ham","In xam hall boy asked girl Tell me the starting term for dis answer I can den manage on my own After lot of hesitation n lookin around silently she said THE! intha ponnungale ipaditan;)"
"spam","Please CALL 08712402902 immediately as there is an urgent message waiting for you."
"ham","Babe, have you got enough money to pick up bread and milk ? And I'll give you it back when you get home ?"
"spam","RT-KIng Pro Video Club>> Need help? info@ringtoneking.co.uk or call 08701237397 You must be 16+ Club credits redeemable at www.ringtoneking.co.uk! Enjoy!"
"ham","Hi. || Do u want | to join me with sts later? || Meeting them at five. || Call u after class."
"ham","OH MR SHEFFIELD! You wanna play THAT game, okay. You're the boss and I'm the nanny. You give me a raise and I'll give YOU one!!"
"ham","You have to pls make a note of all she.s exposed to. Also find out from her school if anyone else was vomiting. Is there a dog or cat in the house? Let me know later."
"ham","Yeah just open chat and click friend lists. Then make the list. Easy as pie"
"ham","I will be gentle princess! We will make sweet gentle love..."
"spam","URGENT! Your mobile number *************** WON a £2000 Bonus Caller prize on 10/06/03! This is the 2nd attempt to reach you! Call 09066368753 ASAP! Box 97N7QP, 150ppm"
"ham"," what number do u live at? Is it 11?"
"ham","I anything lor."
"ham","How have your little darlings been so far this week? Need a coffee run tomo?Can't believe it's that time of week already …"
"ham","Me too baby! I promise to treat you well! I bet you will take good care of me..."
"ham","No she didnt. I will search online and let you know."
"ham","ALRITE SAM ITS NIC JUST CHECKIN THAT THIS IS UR NUMBER-SO IS IT?T.B*"
"ham","They can try! They can get lost, in fact. Tee hee"
"ham","Kay... Since we are out already "
"ham","Aiyo u so poor thing... Then u dun wan 2 eat? U bathe already?"
"ham","have got * few things to do. may be in * pub later."
"ham","Ok. There may be a free gym about."
"ham","Dont let studying stress you out. L8r."
"ham","Company is very good.environment is terrific and food is really nice:)"
"ham","Still work going on:)it is very small house."
"ham","Thanks for sending this mental ability question.."
"ham","Okie..."
"ham","TODAY is Sorry day.! If ever i was angry with you, if ever i misbehaved or hurt you? plz plz JUST SLAP URSELF Bcoz, Its ur fault, I'm basically GOOD"
"spam","WIN a year supply of CDs 4 a store of ur choice worth £500 & enter our £100 Weekly draw txt MUSIC to 87066 Ts&Cs www.Ldew.com.subs16+1win150ppmx3"
"ham","Sorry im getting up now, feel really bad- totally rejected that kinda me thing."
"ham","R u saying i should re order the slippers cos i had to pay for returning it."
"ham","First has she gained more than  &lt;#&gt; kg since she took in. Second has she done the blood sugar tests. If she has and its ok and her blood pressure is within normal limits then no worries"
"ham","Hanging out with my brother and his family"
"ham","Why do you ask princess?"
"spam","Please call Amanda with regard to renewing or upgrading your current T-Mobile handset free of charge. Offer ends today. Tel 0845 021 3680 subject to T's and C's"
"spam","You have won a Nokia 7250i. This is what you get when you win our FREE auction. To take part send Nokia to 86021 now. HG/Suite342/2Lands Row/W1JHL 16+ "
"ham","You might want to pull out more just in case and just plan on not spending it if you can, I don't have much confidence in derek and taylor's money management"
"ham","Another month. I need chocolate weed and alcohol."
"ham","2 celebrate my bday, y else?"
"ham","Don't worry, * is easy once have ingredients!"
"ham","Nah, I'm a perpetual DD"
"ham","Ok..."
"ham","Good afternoon, babe. How goes that day ? Any job prospects yet ? I miss you, my love ... *sighs* ... :-("
"ham","I've been trying to reach him without success"
"ham","Did he say how fantastic I am by any chance, or anything need a bigger life lift as losing the will 2 live, do you think I would be the first person 2 die from N V Q? "
"ham","K.then any other special?"
"ham","Good afternon, my love. How are today? I hope your good and maybe have some interviews. I wake and miss you babe. A passionate kiss from across the sea"
"ham","Yar lor... Keep raining non stop... Or u wan 2 go elsewhere?"
"ham","I didn't get the second half of that message"
"ham","Sorry, I'll call later"
"spam","For taking part in our mobile survey yesterday! You can now have 500 texts 2 use however you wish. 2 get txts just send TXT to 80160 T&C www.txt43.com 1.50p"
"ham","That one week leave i put know that time. Why."
"spam","FREE for 1st week! No1 Nokia tone 4 ur mob every week just txt NOKIA to 87077 Get txting and tell ur mates. zed POBox 36504 W45WQ norm150p/tone 16+"
"ham","Aiyo a bit pai seh ü noe... Scared he dun rem who i am then die... Hee... But he become better lookin oredi leh..."
"ham","I meant middle left or right?"
"ham","Dont gimme that lip caveboy"
"ham","Fuck babe ... What happened to you ? How come you never came back?"
"spam","Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country Liverpool played in mid week? Txt ansr to 82277. £1.50 SP:Tyrone"
"ham","Hey do you want anything to buy:)"
"ham","Finish liao... U?"
"ham","Wish i were with you now!"
"ham","Where's my boytoy? I miss you ... What happened?"
"ham","At 4. Let's go to bill millers"
"ham","Well, I was about to give up cos they all said no they didn‘t do one nighters. I persevered and found one but it is very cheap so i apologise in advance. It is just somewhere to sleep isnt it?"
"ham","What's happening with you. Have you gotten a job and have you begun registration for permanent residency"
"ham","So now my dad is gonna call after he gets out of work and ask all these crazy questions."
"ham","G wants to know where the fuck you are"
"ham","Oh k.k..where did you take test?"
"ham","U can call me now..."
"ham","Teach me apps da. When you come to college."
"ham","Don know:)this week i'm going to tirunelvai da."
"ham","Book which lesson? then you msg me... I will call up after work or sth... I'm going to get specs. My membership is PX3748"
"ham","Yes da. Any plm at ur office"
"ham","Ü bot notes oredi... Cos i juz rem i got..."
"ham","Send his number and give reply tomorrow morning for why you said that to him like that ok"
"ham","True. It is passable. And if you get a high score and apply for phd, you get 5years of salary. So it makes life easier."
"ham","Will it help if we propose going back again tomorrow"
"ham","Rightio. 11.48 it is then. Well arent we all up bright and early this morning."
"ham","Oh oh... Wasted... Den muz chiong on sat n sun liao..."
"ham","That's the way you should stay oh."
"ham","What i mean is do they come chase you out when its over or is it stated you can watch as many movies as you want."
"ham","Just dropped em off, omw back now"
"spam","UR GOING 2 BAHAMAS! CallFREEFONE 08081560665 and speak to a live operator to claim either Bahamas cruise of£2000 CASH 18+only. To opt out txt X to 07786200117"
"ham","The guy (kadeem) hasn't been selling since the break, I know one other guy but he's paranoid as fuck and doesn't like selling without me there and I can't be up there til late tonight"
"ham","I cant pick the phone right now. Pls send a message"
"ham","From tomorrow onwards eve 6 to 3 work."
"ham","Our Prashanthettan's mother passed away last night. pray for her and family."
"ham","Forgot it takes me 3 years to shower, sorry. Where you at/your phone dead yet?"
"ham","K go and sleep well. Take rest:-)."
"ham","Ok lor..."
"ham","Princess, i like to make love  &lt;#&gt;  times per night. Hope thats not a problem!"
"ham","Wat makes some people dearer is not just de happiness dat u feel when u meet them but de pain u feel when u miss dem!!!"
"ham","Dunno lei... I thk mum lazy to go out... I neva ask her yet..."
"ham","Hey hun-onbus goin 2 meet him. He wants 2go out 4a meal but I donyt feel like it cuz have 2 get last bus home!But hes sweet latelyxxx"
"ham","I'm also came to room."
"ham","That was random saw my old roomate on campus. He graduated"
"ham","K, makes sense, btw carlos is being difficult so you guys are gonna smoke while I go pick up the second batch and get gas"
"ham","You unbelievable faglord"
"ham","Yes, i'm small kid.. And boost is the secret of my energy.."
"ham","Oh great. I.ll disturb him more so that we can talk."
"ham","Feel Yourself That You Are Always Happy.. Slowly It Becomes Your Habit &amp; Finally It Becomes Part Of Your Life.. Follow It.. Happy Morning &amp; Have A Happy Day:)"
"spam","Hi ya babe x u 4goten bout me?' scammers getting smart..Though this is a regular vodafone no, if you respond you get further prem rate msg/subscription. Other nos used also. Beware!"
"ham","Howz that persons story"
"ham","I tot it's my group mate... Lucky i havent reply... Wat time do ü need to leave... "
"ham","House-Maid is the murderer, coz the man was murdered on  &lt;#&gt; th January.. As public holiday all govt.instituitions are closed,including post office..understand?"
"ham","Staff of placement training in Amrita college."
"ham","I wnt to buy a BMW car urgently..its vry urgent.but hv a shortage of  &lt;#&gt; Lacs.there is no source to arng dis amt. &lt;#&gt; lacs..thats my prob"
"spam","Todays Voda numbers ending 1225 are selected to receive a £50award. If you have a match please call 08712300220 quoting claim code 3100 standard rates app "
"ham","Would me smoking you out help us work through this difficult time"
"ham","God bless.get good sleep my dear...i will pray!"
"spam","Your free ringtone is waiting to be collected. Simply text the password MIX to 85069 to verify. Get Usher and Britney. FML, PO Box 5249, MK17 92H. 450Ppw 16"
"ham","Yeah so basically any time next week you can get away from your mom &amp; get up before 3"
"ham","When people see my msgs, They think Iam addicted to msging... They are wrong, Bcoz They don\'t know that Iam addicted to my sweet Friends..!! BSLVYL"
"ham","Friendship poem: Dear O Dear U R Not Near But I Can Hear Dont Get Fear Live With Cheer No More Tear U R Always my Dear. Gud ni8"
"ham","Aight will do, thanks again for comin out"
"ham","No * am working on the ringing u thing but have whole houseful of screaming brats so * am pulling my hair out! Loving u"
"ham","Back in brum! Thanks for putting us up and keeping us all and happy. See you soon "
"spam","YES! The only place in town to meet exciting adult singles is now in the UK. Txt CHAT to 86688 now! 150p/Msg."
"ham","House-Maid is the murderer, coz the man was murdered on  &lt;#&gt; th January.. As public holiday all govt.instituitions are closed,including post office..understand?"
"ham","Dear Hero,i am leaving to qatar tonite for an apt opportunity.pls do keep in touch at  &lt;EMAIL&gt; ,kerala"
"ham","Change again... It's e one next to escalator..."
"ham","Yeah we wouldn't leave for an hour at least, how's 4 sound?"
"ham","Is fujitsu s series lifebook good?"
"spam","CALL 09090900040 & LISTEN TO EXTREME DIRTY LIVE CHAT GOING ON IN THE OFFICE RIGHT NOW TOTAL PRIVACY NO ONE KNOWS YOUR [sic] LISTENING 60P MIN 24/7MP 0870753331018+"
"ham","If he started searching he will get job in few days.he have great potential and talent."
"ham","Yup... Ok i go home look at the timings then i msg ü again... Xuhui going to learn on 2nd may too but her lesson is at 8am"
"ham","I don't think he has spatula hands!"
"ham","As usual..iam fine, happy &amp; doing well..:)"
"ham","Its posible dnt live in  &lt;#&gt; century cm frwd n thnk different"
"ham","Raji..pls do me a favour. Pls convey my Birthday wishes to Nimya. Pls. Today is her birthday."
"ham","Funny fact Nobody teaches volcanoes 2 erupt, tsunamis 2 arise, hurricanes 2 sway aroundn no 1 teaches hw 2 choose a wife Natural disasters just happens"
"spam","Hi 07734396839 IBH Customer Loyalty Offer: The NEW NOKIA6600 Mobile from ONLY £10 at TXTAUCTION!Txt word:START to No:81151 & get Yours Now!4T&"
"ham","K. Did you call me just now ah? "
"ham","Captain is in our room:)"
"ham","But I'm on a diet. And I ate 1 too many slices of pizza yesterday. Ugh I'm ALWAYS on a diet."
"ham","You in your room? I need a few"
"ham","That seems unnecessarily hostile"
"ham","If we hit it off, you can move in with me :)"
"ham","sir, you will receive the account no another 1hr time. Sorry for the delay."
"ham","Ryder unsold.now gibbs."
"ham","A bit of Ur smile is my hppnss, a drop of Ur tear is my sorrow, a part of Ur heart is my life, a heart like mine wil care for U, forevr as my GOODFRIEND"
"ham","Yo! Howz u? girls never rang after india. L"
"ham","That's y i said it's bad dat all e gals know u... Wat u doing now?"
"ham","Wn u r hurt by d prsn who s close 2 u, do fight wit dem. Coz somtimes dis fight saves a relation bt being quiet leaves nothin in a relation.. Gud eveB-)"
"ham","staff.science.nus.edu.sg/~phyhcmk/teaching/pc1323"
"ham","ok....take care.umma to you too..."
"ham","Fighting with the world is easy, u either win or lose bt fightng with some1 who is close to u is dificult if u lose - u lose if u win - u still lose."
"ham","I.ll give her once i have it. Plus she said grinule greet you whenever we speak"
"ham","Did he just say somebody is named tampa"
"spam","Can U get 2 phone NOW? I wanna chat 2 set up meet Call me NOW on 09096102316 U can cum here 2moro Luv JANE xx Calls£1/minmoremobsEMSPOBox45PO139WA"
"ham","I have a sore throat. It's scratches when I talk"
"ham","Really? I crashed out cuddled on my sofa."
"ham","I had been hoping i would not have to send you this message. My rent is due and i dont have enough for it. My reserves are completely gone. Its a loan i need and was hoping you could her. The balance is  &lt;#&gt; . Is there a way i could get that from you, till mid march when i hope to pay back."
"ham","You've always been the brainy one."
"spam","SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV"
"ham","Babe ? I lost you ... Will you try rebooting ?"
"ham","I wish things were different. I wonder when i will be able to show you how much i value you. Pls continue the brisk walks no drugs without askin me please and find things to laugh about. I love you dearly."
"ham","Oh... Kay... On sat right?"
"ham","Olol i printed out a forum post by a guy with the exact same  prob which was fixed with a gpu replacement. Hopefully they dont ignore that."
"ham","S...i will take mokka players only:)"
"ham","Do have a nice day today. I love you so dearly."
"ham","K, can that happen tonight?"
"ham","Yeah but which is worse for i"
"ham","Good FRIENDS CaRE for each Other.. CLoSE Friends UNDERSTaND each Other... and TRUE Friends STaY forever beyond words, beyond time. Gud ni8"
"ham","I wasn't well babe, i have swollen glands at my throat ... What did you end up doing ?"
"ham","Im at arestaurant eating squid! i will be out about 10:30 wanna dosomething or is that to late?"
"ham","Ya, told..she was asking wats matter?"
"ham","MOON has come to color your dreams, STARS to make them musical and my SMS to give you warm and Peaceful Sleep. Good Night"
"ham","Just looked it up and addie goes back Monday, sucks to be her"
"spam","FREE UNLIMITED HARDCORE PORN direct 2 your mobile Txt PORN to 69200 & get FREE access for 24 hrs then chrgd@50p per day txt Stop 2exit. This msg is free"
"ham","Hurt me... Tease me... Make me cry... But in the end of my life when i die plz keep one rose on my grave and say STUPID I MISS U.. HAVE A NICE DAY BSLVYL"
"ham","How much are we getting?"
"ham","Horrible gal. Me in sch doing some stuff. How come u got mc?"
"ham","The Xmas story is peace.. The Xmas msg is love.. The Xmas miracle is jesus.. Hav a blessed month ahead &amp; wish U Merry Xmas..."
"ham","Yes princess! I want to make you happy..."
"ham","If i said anything wrong sorry de:-)"
"ham","Come to my home for one last time i wont do anything. Trust me."
"ham","Awww dat is sweet! We can think of something to do he he! Have a nice time tonight ill probably txt u later cos im lonely :( xxx."
"ham","Beautiful truth : Expression of the face could Be seen by everyone... But the depression of heart Could be understood only By the Loved ones.. Gud Ni8;-)"
"ham","Yeah go on then, bored and depressed sittin waitin for phone to ring... Hope the wind drops though, scary"
"ham","Good afternoon starshine! How's my boytoy? Does he crave me yet? Ache to fuck me ? *sips cappuccino* I miss you babe *teasing kiss*"
"ham","Hello madam how are you ?"
"ham","Guy, no flash me now. If you go call me, call me. How madam. Take care oh."
"ham","Well i will watch shrek in 3D!!B)"
"ham","Ah, well that confuses things, doesn‘t it?"
"ham","sry can't talk on phone, with parents"
"spam","URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18"
"ham","Your board is working fine. The issue of overheating is also reslove. But still software inst is pending. I will come around 8'o clock."
"ham","Jus chillaxin, what up"
"ham","Yar lor... How u noe? U used dat route too?"
"ham","That's a shame! Maybe cld meet for few hrs tomo?"
"ham","I'm freezing and craving ice. Fml"
"ham","Wah... Okie okie... Muz make use of e unlimited... Haha... "
"ham","That's y we haf to combine n c how lor..."
"ham","Petey boy whereare you me and all your friendsare in theKingshead come down if you canlove Nic"
"ham","You will be in the place of that man"
"ham","Haha, my friend tyler literally just asked if you could get him a dubsack"
"ham","No..but heard abt tat.."
"ham","No I'm good for the movie, is it ok if I leave in an hourish?"
"ham","I got a call from a landline number. . . I am asked to come to anna nagar . . . I will go in the afternoon"
"ham","Hey what's up charles sorry about the late reply."
"ham","Aight, see you in a bit"
"ham","We'll join the  &lt;#&gt;  bus"
"ham","Yes we were outside for like 2 hours. And I called my whole family to wake them up cause it started at 1 am"
"ham","I finished my lunch already. U wake up already?"
"spam","For ur chance to win a £250 cash every wk TXT: ACTION to 80608. T's&C's www.movietrivia.tv custcare 08712405022, 1x150p/wk."
"spam","How come it takes so little time for a child who is afraid of the dark to become a teenager who wants to stay out all night?"
"ham","Lol enjoy role playing much?"
"ham","Good evening Sir, hope you are having a nice day. I wanted to bring it to your notice that I have been late in paying rent for the past few months and have had to pay a $ &lt;#&gt;  charge. I felt it would be inconsiderate of me to nag about something you give at great cost to yourself and that's why i didnt speak up. I however am in a recession and wont be able to pay the charge this month hence my askin well ahead of month's end. Can you please help. Thank you for everything."
"ham","Then just eat a shit and wait for ur monkey face bitch.......... U asshole.................."
"ham","Please da call me any mistake from my side sorry da. Pls da goto doctor."
"ham","It could work, we'll reach a consensus at the next meeting"
"ham","Yupz... I've oredi booked slots 4 my weekends liao... "
"ham","I love u 2 my little pocy bell I am sorry but I love u"
"spam","Congrats! 2 mobile 3G Videophones R yours. call 09061744553 now! videochat wid ur mates, play java games, Dload polyH music, noline rentl. bx420. ip4. 5we. 150pm"
"ham","Ya just telling abt tht incident.."
"ham","Thanks for looking out for me. I really appreciate."
"ham","Ya had just now.onion roast."
"ham","Uhhhhrmm isnt having tb test bad when youre sick"
"ham","JADE ITS PAUL. Y DIDNT U TXT ME? DO U REMEMBER ME FROM BARMED? I WANT 2 TALK 2 U! TXT ME"
"spam","URGENT! Your Mobile number has been awarded with a £2000 prize GUARANTEED. Call 09061790121 from land line. Claim 3030. Valid 12hrs only 150ppm"
"ham","Have you emigrated or something? Ok maybe 5.30 was a bit hopeful..."
"ham","Thursday night? Yeah, sure thing, we'll work it out then"
"ham","R u sure they'll understand that! Wine * good idea just had a slurp!"
"ham","Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol"
"ham","Oh is it! Which brand?"
"ham","How. Its a little difficult but its a simple way to enter this place"
"ham","I might go 2 sch. Yar at e salon now v boring."
"spam","Natalie (20/F) is inviting you to be her friend. Reply YES-165 or NO-165 See her: www.SMS.ac/u/natalie2k9 STOP? Send STOP FRND to 62468"
"ham","Cramps stopped. Going back to sleep"
"ham","Will be office around 4 pm. Now i am going hospital."
"ham","I will once i get home"
"ham","Haha I heard that, text me when you're around"
"ham","Actually fuck that, just do whatever, do find an excuse to be in tampa at some point before january though"
"ham","I want kfc its Tuesday. Only buy 2 meals ONLY 2. No gravy. Only 2 Mark. 2!"
"ham"," says that he's quitting at least5times a day so i wudn't take much notice of that. Nah, she didn't mind. Are you gonna see him again? Do you want to come to taunton tonight? U can tell me all about !"
"ham","I'm used to it. I just hope my agents don't drop me since i've only booked a few things this year. This whole me in boston, them in nyc was an experiment."
"ham","Wife.how she knew the time of murder exactly"
"ham","Don know. I did't msg him recently."
"spam","85233 FREE>Ringtone!Reply REAL"
"ham","Hello. Damn this christmas thing. I think i have decided to keep this mp3 that doesnt work."
"ham","No I don't have cancer. Moms making a big deal out of a regular checkup aka pap smear"
"ham","Howz pain?hope u r fine.."
"ham","I don't know jack shit about anything or i'd say/ask something helpful but if you want you can pretend that I did and just text me whatever in response to the hypotheticalhuagauahahuagahyuhagga"
"spam","Todays Vodafone numbers ending with 4882 are selected to a receive a £350 award. If your number matches call 09064019014 to receive your £350 award."
"ham","Wat time liao, where still got."
"spam","FreeMsg: Hey - I'm Buffy. 25 and love to satisfy men. Home alone feeling randy. Reply 2 C my PIX! QlynnBV Help08700621170150p a msg Send stop to stop txts"
"ham","I noe la... U wana pei bf oso rite... K lor, other days den..."
"ham","* Will have two more cartons off u and is very pleased with shelves"
"spam","Thanks for your subscription to Ringtone UK your mobile will be charged £5/month Please confirm by replying YES or NO. If you reply NO you will not be charged"
"ham","Gud mrng dear hav a nice day"
"ham","Congrats kano..whr s the treat maga?"
"spam","Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send GO to 86688 only 150p/meg. CC: 08718720201 HG/Suite342/2lands Row/W1j6HL"
"spam","Congrats! 2 mobile 3G Videophones R yours. call 09061744553 now! videochat wid ur mates, play java games, Dload polyH music, noline rentl. bx420. ip4. 5we. 150pm"
"ham","Was gr8 to see that message. So when r u leaving? Congrats dear. What school and wat r ur plans."
"ham","Yavnt tried yet and never played original either"
"ham","No need lar. Jus testing e phone card. Dunno network not gd i thk. Me waiting 4 my sis 2 finish bathing so i can bathe. Dun disturb u liao u cleaning ur room."
"ham","In work now. Going have in few min."
"ham","Gibbs unsold.mike hussey"
"ham","Pls help me tell sura that i'm expecting a battery from hont. And that if should pls send me a message about how to download movies. Thanks"
"ham","Enjoy ur life. . Good night"
"ham","Man this bus is so so so slow. I think you're gonna get there before me"
"ham","You need to get up. Now."
"ham","Lul im gettin some juicy gossip at the hospital. Two nurses are talking about how fat they are gettin. And one thinks shes obese. Oyea."
"ham","ARR birthday today:) i wish him to get more oscar."
"ham","Its so common hearin How r u? Wat r u doing? How was ur day? So let me ask u something different. Did u smile today? If not, do it now.... Gud evng."
"ham","K tell me anything about you."
"ham","K..k:)how about your training process?"
